sn,Winner,Team 1 Position,Team 2 Position,Team 1_Afghanistan,Team 1_Australia,Team 1_Bangladesh,Team 1_England,Team 1_India,Team 1_Netherlands,Team 1_New Zealand,Team 1_Pakistan,Team 1_South Africa,Team 1_Sri Lanka,Team 2_Afghanistan,Team 2_Australia,Team 2_Bangladesh,Team 2_England,Team 2_India,Team 2_Netherlands,Team 2_New Zealand,Team 2_Pakistan,Team 2_South Africa,Team 2_Sri Lanka
21,England,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,England,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,England,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
24,South Africa,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,South Africa,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,India,10,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,India,10,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,India,10,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,India,10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,New Zealand,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,India,10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,New Zealand,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,India,10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,Pakistan,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,India,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,Bangladesh,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,Bangladesh,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,Sri Lanka,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
39,no result,6,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,no result,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41,no result,6,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
42,Afghanistan,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
43,New Zealand,6,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
44,Australia,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,Australia,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,Australia,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,India,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,India,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,South Africa,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,Australia,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,Australia,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,Australia,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,Pakistan,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,Pakistan,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,Pakistan,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,no result,5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,England,5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,South Africa,5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,India,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,England,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,India,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
