date,name,team,average,strike_rate,economy,wickets
28-10-2023,Shariz Ahmad,Netherlands,0,0,0,0
29-10-2023,DJ Willey,England,7.5,7.75,6.161846496,3
29-10-2023,CR Woakes,England,12.25,12,6.955845142,3
29-10-2023,AU Rashid,England,20.875,26.3125,5.949086651,2
29-10-2023,MA Wood,England,18,29.33333333,7.109472382,1
29-10-2023,LS Livingstone,England,15.33333333,26,5.658333333,0
29-10-2023,MM Ali,England,0,0,6.714285714,0
29-10-2023,JJ Bumrah,India,20.7,31.95,3.701601674,3
29-10-2023,Mohammed Siraj,India,30.7,40.3,5.768448553,0
29-10-2023,Mohammed Shami,India,9.833333333,10,5.9,4
29-10-2023,Kuldeep Yadav,India,32.7,42.5,4.712209212,2
29-10-2023,RA Jadeja,India,15,24.875,4.083493601,1
30-10-2023,Mujeeb Ur Rahman,Afghanistan,18.5,20.33333333,5.919758231,2
30-10-2023,Fazalhaq Farooqi,Afghanistan,23.33333333,25.33333333,5.998617936,4
30-10-2023,Naveen-ul-Haq,Afghanistan,32.6,31.1,6.733423423,1
30-10-2023,Azmatullah Omarzai,Afghanistan,21,18.1,7.212972516,1
30-10-2023,Rashid Khan,Afghanistan,21.08333333,26.375,4.918280263,2
30-10-2023,Mohammad Nabi,Afghanistan,8.333333333,16.93333333,4.397702703,0
30-10-2023,D Madushanka,Sri Lanka,23.91666667,23.05833333,6.109671828,2
30-10-2023,CAK Rajitha,Sri Lanka,40.16666667,32.83333333,6.244311078,1
30-10-2023,AD Mathews,Sri Lanka,7.5,15,3,0
30-10-2023,PVD Chameera,Sri Lanka,0,0,0,0
30-10-2023,M Theekshana,Sri Lanka,39.91666667,45.66666667,4.916279197,0
30-10-2023,DM de Silva,Sri Lanka,0,0,7.116444444,0
31-10-2023,Shaheen Shah Afridi,Pakistan,34.51666667,36.01666667,5.566486011,3
31-10-2023,Iftikhar Ahmed,Pakistan,16,18,5.591298246,1
31-10-2023,Haris Rauf,Pakistan,25.71527778,24.07291667,6.749622333,2
31-10-2023,Mohammad Wasim,Pakistan,26.5,31.5,5.047619048,3
31-10-2023,Usama Mir,Pakistan,62.33333333,45.5,6.962985194,1
31-10-2023,Taskin Ahmed,Bangladesh,32.375,35,5.725442527,0
31-10-2023,Shoriful Islam,Bangladesh,31.27777778,27.69444444,6.332224391,0
31-10-2023,Mehedi Hasan Miraz,Bangladesh,18.5,28.3,5.301408109,3
31-10-2023,Mustafizur Rahman,Bangladesh,23.55555556,35.5,5.48890343,0
31-10-2023,Shakib Al Hasan,Bangladesh,44.4,50.4,5.098405365,0
31-10-2023,Nazmul Hossain Shanto,Bangladesh,0,0,0,0
01-11-2023,TA Boult,New Zealand,28.27777778,35.75,4.837617969,1
01-11-2023,MJ Henry,New Zealand,32.72222222,32.25,5.682223345,0
01-11-2023,TG Southee,New Zealand,0,0,0,2
